Keyword,Immediate-early,#,    ,Early,#,    ,Early-late,#,    ,Late,#,        ,Immediate-early (%),Early (%),Early-late (%),Late (%)
p16813_ul39,0.11,1,,0.76,4,,0.50,1,,0.36,2,,6.42,43.86,28.87,20.85
q6swc8_ul1_p16719,0.75,3,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
q6swc5_ul5_p16776,0.10,1,,0.75,2,,0.00,0,,0.60,2,,6.89,51.96,0.00,41.15
p16794_f5hfz4_ul53,0.75,1,,0.00,0,,0.00,0,,0.75,2,,49.85,0.00,0.00,50.15
f5he12_p16766_ul35,0.46,2,,0.64,3,,0.00,0,,0.37,2,,31.17,43.82,0.00,25.01
p16845_ul22a_f5hf90,0.62,2,,0.35,1,,0.00,0,,0.38,2,,46.30,25.93,0.00,27.78
f5hbx1_ul146,0.12,1,,0.33,1,,0.62,1,,0.36,1,,8.70,23.21,42.94,25.15
ul9_p16745_f5h9t4,0.36,2,,0.61,2,,0.00,0,,0.00,0,,37.14,62.86,0.00,0.00
p16792_f5hgi9_ul51,0.11,1,,0.14,1,,0.00,0,,0.53,2,,14.11,18.15,0.00,67.74
ul49_q6sw82_p16786,0.50,1,,0.53,2,,0.25,1,,0.00,0,,38.96,41.56,19.48,0.00
q6swc7_ul2_p16754,0.25,1,,0.50,1,,0.00,0,,0.00,0,,33.33,66.67,0.00,0.00
rl6_q6swd3,0.00,0,,0.00,0,,0.00,0,,0.50,1,,0.00,0.00,0.00,100.00
ul20_p16758_f5h9z4,0.50,1,,0.00,0,,0.00,0,,0.00,0,,100.00,0.00,0.00,0.00
p16796_ul90,0.00,0,,0.00,0,,0.00,0,,0.50,1,,0.00,0.00,0.00,100.00
us5_q6rxc1_p16840,0.17,1,,0.00,0,,0.00,0,,0.50,1,,25.00,0.00,0.00,75.00
q6rjq3_ul141,0.17,1,,0.31,2,,0.00,0,,0.50,1,,17.05,31.82,0.00,51.14
p69339_ul132_f5hgu6_p69338,0.00,0,,0.00,0,,0.50,1,,0.10,1,,0.00,0.00,83.33,16.67
f5het4_ul131a,0.33,1,,0.46,2,,0.00,0,,0.00,0,,42.11,57.89,0.00,0.00
q6sw10_ul133,0.45,2,,0.14,1,,0.00,0,,0.43,1,,43.70,13.96,0.00,42.34
us23_p09701_f5haz3,0.43,2,,0.35,2,,0.00,0,,0.00,0,,55.32,44.68,0.00,0.00
ul98_f5hf49_p16789,0.00,0,,0.00,0,,0.00,0,,0.43,3,,0.00,0.00,0.00,100.00
p16760_ul24_f5h9n4,0.40,3,,0.14,1,,0.00,0,,0.20,1,,54.02,19.16,0.00,26.82
q6swm9_ul135_f5haq7,0.35,2,,0.27,2,,0.00,0,,0.00,0,,56.76,43.24,0.00,0.00
f5hi68_ul19_p16723,0.17,1,,0.34,3,,0.33,1,,0.20,1,,16.09,32.44,32.17,19.30
ul11_q6swb9_p16721,0.00,0,,0.33,1,,0.00,0,,0.10,1,,0.00,76.92,0.00,23.08
p16839_us4,0.33,1,,0.10,1,,0.00,0,,0.17,1,,55.56,16.67,0.00,27.78
f5h8s6_us24_p09700,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
ul21_p16759,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
ul60_p16817,0.00,0,,0.00,0,,0.00,0,,0.33,1,,0.00,0.00,0.00,100.00
ul125_p16835,0.00,0,,0.33,1,,0.00,0,,0.00,0,,0.00,100.00,0.00,0.00
p16735_ul104_f5hbr4,0.00,0,,0.00,0,,0.00,0,,0.33,1,,0.00,0.00,0.00,100.00
ul136_q6swn0_f5hf35,0.21,1,,0.28,2,,0.00,0,,0.14,1,,33.42,43.97,0.00,22.61
p09731_f5hdd3_us7,0.28,2,,0.00,0,,0.00,0,,0.12,1,,68.97,0.00,0.00,31.03
